,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2
t+1,0.75 (21.05),0.95,0.98 (0.00),0.98,0.10 (23.08),0.13,0.51 (21.54),0.65
t+2,1.02 (13.56),1.18,0.97 (1.04),0.96,0.15 (11.76),0.17,0.72 (14.29),0.84
t+3,1.28 (9.86),1.42,0.95 (1.06),0.94,0.19 (9.52),0.21,0.92 (9.80),1.02
t+4,1.52 (8.98),1.67,0.93 (1.09),0.92,0.23 (8.00),0.25,1.07 (9.32),1.18
t+5,1.69 (9.14),1.86,0.92 (2.22),0.90,0.25 (10.71),0.28,1.18 (9.92),1.31
t+6,1.81 (9.95),2.01,0.91 (2.25),0.89,0.26 (10.34),0.29,1.26 (10.00),1.40
t+1,0.82 (20.39),1.03,0.98 (0.00),0.98,0.10 (23.08),0.13,0.57 (21.92),0.73
t+2,1.23 (10.87),1.38,0.96 (0.00),0.96,0.16 (15.79),0.19,0.88 (12.87),1.01
t+3,1.61 (6.94),1.73,0.94 (1.08),0.93,0.22 (8.33),0.24,1.15 (9.45),1.27
t+4,1.90 (5.94),2.02,0.91 (1.11),0.90,0.26 (7.14),0.28,1.36 (7.48),1.47
t+5,2.17 (5.65),2.30,0.89 (2.30),0.87,0.29 (6.45),0.31,1.53 (6.71),1.64
t+6,2.30 (6.12),2.45,0.88 (2.33),0.86,0.30 (6.25),0.32,1.62 (6.36),1.73
