,2020_winter,2020_spring,2020_summer,2020_autumn,2021_winter,2021_spring,2021_summer,2021_autumn,2022_winter,2022_spring,2022_summer,2022_autumn,2023_winter,2023_spring,2023_summer,2023_autumn
R3_obs,18.24837498,22.63403263,29.19168223,25.45109958,16.86805195,24.21826223,28.58721914,25.20598086,17.36780872,22.198789,29.19041875,25.40634865,17.72860613,23.78322019,28.72064622,28.1625
btm_forecast,18.16589171,22.61760143,29.16920865,25.51698776,16.84998218,24.29731138,28.42495815,25.23269914,17.32118418,22.23310268,29.16091378,25.45078682,17.75688495,23.74326749,28.74527484,28.29950159
btm_std,3.134032559,4.10225035,2.231808491,3.466347504,3.134032559,4.10225035,2.231808491,3.466347504,3.134032559,4.10225035,2.231808491,3.466347504,3.134032559,4.10225035,2.231808491,3.466347504
R3_mae,0.420789536,0.41970729,0.47466944,0.393090816,0.420789536,0.41970729,0.47466944,0.393090816,0.420789536,0.41970729,0.47466944,0.393090816,0.420789536,0.41970729,0.47466944,0.393090816
R2_obs,18.35375629,22.93769841,29.21571543,25.52434986,16.72274144,24.54583291,28.40672989,25.10661787,17.36365395,22.39884938,29.01945458,25.30241757,17.81935885,24.06620671,28.34488431,27.5827381
mid_forecast,18.27029339,22.89802771,29.17869401,25.57563614,16.71884084,24.57749582,28.28170419,25.16551287,17.30293664,22.36168849,28.95707426,25.24562652,17.82291984,24.01075468,28.30860644,27.6025138
mid_std,3.852535192,4.512319536,2.896024277,3.899477551,3.852535192,4.512319536,2.896024277,3.899477551,3.852535192,4.512319536,2.896024277,3.899477551,3.852535192,4.512319536,2.896024277,3.899477551
R2_mae,0.444701486,0.479473935,0.541328858,0.438248416,0.444701486,0.479473935,0.541328858,0.438248416,0.444701486,0.479473935,0.541328858,0.438248416,0.444701486,0.479473935,0.541328858,0.438248416
R1_obs,16.56237807,20.73863777,25.99129802,23.28461744,15.03122874,22.54040233,25.33661139,22.53331078,15.82069157,20.59411303,25.96705357,23.29650621,16.04235871,21.69745847,27.74654332,28.76802114
top_forecast,16.52741038,20.69512559,25.97635698,23.29151099,15.07175511,22.53874429,25.31923826,22.60102832,15.68594651,20.53313469,25.95604378,23.22867685,16.1073698,21.63447319,27.78247615,28.89447999
top_std,4.067509463,4.380090029,3.27833708,3.914508101,4.067509463,4.380090029,3.27833708,3.914508101,4.067509463,4.380090029,3.27833708,3.914508101,4.067509463,4.380090029,3.27833708,3.914508101
R1_mae,0.578566029,0.606175463,0.654132602,0.593473166,0.578566029,0.606175463,0.654132602,0.593473166,0.578566029,0.606175463,0.654132602,0.593473166,0.578566029,0.606175463,0.654132602,0.593473166
