,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data
t+1,0.27 (10.00),0.30,0.79,0.90 (0.00),0.90,0.26,0.25 (10.71),0.28,0.86,0.18 (10.00),0.20,0.6
t+2,0.36 (7.69),0.39,0.71,0.81 (1.25),0.80,0.35,0.37 (7.50),0.40,0.78,0.25 (10.71),0.28,0.53
t+3,0.44 (8.33),0.48,0.67,0.72 (4.35),0.69,0.41,0.46 (8.00),0.50,0.71,0.32 (8.57),0.35,0.49
t+4,0.51 (7.27),0.55,0.68,0.65 (10.17),0.59,0.41,0.51 (10.53),0.57,0.69,0.36 (12.20),0.41,0.5
t+5,0.55 (9.84),0.61,0.71,0.59 (18.00),0.50,0.38,0.55 (14.06),0.64,0.73,0.40 (13.04),0.46,0.52
t+6,0.57 (12.31),0.65,0.75,0.56 (27.27),0.44,0.32,0.59 (14.49),0.69,0.79,0.42 (14.29),0.49,0.56
t+1,0.28 (12.50),0.32,0.85,0.90 (1.12),0.89,0.2,0.27 (12.90),0.31,0.93,0.19 (13.64),0.22,0.65
t+2,0.40 (9.09),0.44,0.79,0.79 (2.60),0.77,0.26,0.41 (10.87),0.46,0.86,0.28 (12.50),0.32,0.59
t+3,0.50 (7.41),0.54,0.76,0.67 (6.35),0.63,0.3,0.51 (8.93),0.56,0.81,0.36 (10.00),0.40,0.57
t+4,0.57 (8.06),0.62,0.78,0.59 (11.32),0.53,0.3,0.58 (9.38),0.64,0.79,0.42 (10.64),0.47,0.58
t+5,0.63 (8.70),0.69,0.8,0.52 (20.93),0.43,0.28,0.62 (11.43),0.70,0.82,0.47 (9.62),0.52,0.61
t+6,0.66 (9.59),0.73,0.84,0.48 (33.33),0.36,0.23,0.66 (12.00),0.75,0.86,0.49 (10.91),0.55,0.63
