FID,OBJECTID,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,Shape_Leng,Shape_Area
0,7,N09,10007040,彰化縣,線西鄉,Xianxi Township,N,10007,0.233338595927000,0.001785954080700
1,8,N10,10007050,彰化縣,伸港鄉,Shengang Township,N,10007,0.256348648372000,0.002193112459800
2,15,N16,10007140,彰化縣,埔鹽鄉,Puyan Township,N,10007,0.338353954622000,0.003465956081800
3,19,N08,10007200,彰化縣,二林鎮,Erlin Township,N,10007,0.582981087883000,0.008176553371340
4,22,N24,10007240,彰化縣,大城鄉,Dacheng Township,N,10007,0.442885583325000,0.005708026910130
5,42,P06,10009060,雲林縣,北港鎮,Beigang Township,P,10009,0.356287765940000,0.003683403106800
6,52,P20,10009200,雲林縣,水林鄉,Shuilin Township,P,10009,0.495101699727000,0.006438057218680
7,62,N11,10007060,彰化縣,福興鄉,Fuxing Township,N,10007,0.473373013779000,0.004464556686680
8,63,P16,10009160,雲林縣,臺西鄉,Taixi Township,P,10009,0.337466969507000,0.005259320781700
9,64,P18,10009180,雲林縣,四湖鄉,Sihu Township,P,10009,0.541998191255000,0.006578096183780
10,65,P19,10009190,雲林縣,口湖鄉,Kouhu Township,P,10009,0.440195869439000,0.006314739127410
