FID,OBJECTID,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,Shape_Leng,Shape_Area
0,4,N05,10007100,彰化縣,員林市,Yuanlin City,N,10007,0.385931630625000,0.003496421244970
1,9,N12,10007070,彰化縣,秀水鄉,Xiushui Township,N,10007,0.330224688360000,0.002581551325430
2,12,N06,10007110,彰化縣,溪湖鎮,Xihu Township,N,10007,0.261260768453000,0.002752865588740
3,14,N15,10007130,彰化縣,大村鄉,Dacun Township,N,10007,0.327672125636000,0.002701413405280
4,16,N17,10007150,彰化縣,埔心鄉,Puxin Township,N,10007,0.251703717036000,0.001861490978640
5,20,N22,10007220,彰化縣,埤頭鄉,Pitou Township,N,10007,0.350864613971000,0.003766759850770
6,24,N26,10007260,彰化縣,溪州鄉,Xizhou Township,N,10007,0.461859934913000,0.006138101927170
7,38,P02,10009020,雲林縣,斗南鎮,Dounan Township,P,10009,0.494036611920000,0.004274807246870
8,39,P03,10009030,雲林縣,虎尾鎮,Huwei Township,P,10009,0.469874775293000,0.006052896095350
9,40,P04,10009040,雲林縣,西螺鎮,Xiluo Township,P,10009,0.370732556940000,0.004434352094700
10,41,P05,10009050,雲林縣,土庫鎮,Tuku Township,P,10009,0.443125872301000,0.004257541202680
11,43,P07,10009070,雲林縣,古坑鄉,Gukeng Township,P,10009,0.865880037910000,0.014706690040500
12,44,P08,10009080,雲林縣,大埤鄉,Dapi Township,P,10009,0.377382133698000,0.003921072683090
13,47,P11,10009110,雲林縣,二崙鄉,Erlun Township,P,10009,0.395755162931000,0.005385218071480
14,50,P15,10009150,雲林縣,褒忠鄉,Baozhong Township,P,10009,0.290741590145000,0.003157062125760
15,51,P17,10009170,雲林縣,元長鄉,Yuanchang Township,P,10009,0.427290175973000,0.006386864474610
16,53,Q04,10010040,嘉義縣,大林鎮,Dalin Township,Q,10010,0.482671241280000,0.005716209106170
17,54,Q05,10010050,嘉義縣,民雄鄉,Minxiong Township,Q,10010,0.423508653666000,0.003782682794040
18,55,Q06,10010060,嘉義縣,溪口鄉,Xikou Township,Q,10010,0.377393463691000,0.002868087521020
19,59,Q16,10010150,嘉義縣,梅山鄉,Meishan Township,Q,10010,0.724421402053000,0.010473604195800
20,69,N21,10007210,彰化縣,田尾鄉,Tianwei Township,N,10007,0.308638291029000,0.002190864730390
