FID,OBJECTID,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,Shape_Leng,Shape_Area
0,2,N07,10007120,彰化縣,田中鎮,Tianzhong Township,N,10007,0.384552065696000,0.003054063956870
1,3,N19,10007170,彰化縣,社頭鄉,Shetou Township,N,10007,0.351537926477000,0.003184937959550
2,18,N20,10007180,彰化縣,二水鄉,Ershui Township,N,10007,0.401062630225000,0.003152048581150
3,27,M04,10008040,南投縣,竹山鎮,Zhushan Township,M,10008,1.000325425840000,0.022897334329200
4,28,M05,10008050,南投縣,集集鎮,Jiji Township,M,10008,0.335488967638000,0.003516955894250
5,29,M06,10008060,南投縣,名間鄉,Mingjian Township,M,10008,0.607062589319000,0.002020329982200
6,30,M07,10008070,南投縣,鹿谷鄉,Lugu Township,M,10008,0.592567504742000,0.012660516194000
7,32,M09,10008090,南投縣,魚池鄉,Yuchi Township,M,10008,0.446223379896000,0.005562061923320
8,34,M11,10008110,南投縣,水里鄉,Shuili Township,M,10008,0.741272375089000,0.009900182267400
9,35,M12,10008120,南投縣,信義鄉,Xinyi Township,M,10008,1.791054895010000,0.122780054759000
10,36,M13,10008130,南投縣,仁愛鄉,Ren'ai Township,M,10008,1.291643240330000,0.055698759850100
11,37,P01,10009010,雲林縣,斗六市,Douliu City,P,10009,0.603014738313000,0.008127486055230
12,45,P09,10009090,雲林縣,莿桐鄉,Citong Township,P,10009,0.335651525248000,0.005062023744460
13,46,P10,10009100,雲林縣,林內鄉,Linnei Township,P,10009,0.302487110439000,0.004617597391610
