,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data,Model 1,Model 2,simulate data
t+1,1.72 (20.37),2.16,6.5,0.96 (3.23),0.93,0.43,0.16 (20.00),0.20,0.66,1.02 (17.74),1.24,4.19
t+2,2.24 (10.76),2.51,6.04,0.92 (2.22),0.90,0.49,0.22 (12.00),0.25,0.58,1.43 (10.06),1.59,3.7
t+3,2.67 (8.56),2.92,5.81,0.89 (2.30),0.87,0.52,0.28 (9.68),0.31,0.54,1.74 (9.84),1.93,3.42
t+4,3.06 (6.99),3.29,5.83,0.86 (3.61),0.83,0.51,0.32 (8.57),0.35,0.54,2.00 (9.09),2.20,3.4
t+5,3.40 (5.82),3.61,6.0,0.83 (3.75),0.80,0.49,0.36 (7.69),0.39,0.57,2.23 (8.61),2.44,3.56
t+6,3.71 (5.12),3.91,6.29,0.81 (5.19),0.77,0.46,0.39 (7.14),0.42,0.61,2.44 (7.92),2.65,3.82
t+1,2.01 (17.96),2.45,7.11,0.94 (3.30),0.91,0.35,0.18 (18.18),0.22,0.79,1.14 (17.99),1.39,4.92
t+2,2.79 (5.42),2.95,6.57,0.88 (2.33),0.86,0.41,0.27 (6.90),0.29,0.72,1.67 (9.73),1.85,4.49
t+3,3.38 (5.85),3.59,6.41,0.81 (2.53),0.79,0.43,0.33 (10.81),0.37,0.69,2.07 (10.39),2.31,4.29
t+4,3.84 (5.88),4.08,6.35,0.76 (5.56),0.72,0.43,0.40 (6.98),0.43,0.7,2.40 (9.09),2.64,4.23
t+5,4.21 (6.03),4.48,6.52,0.73 (7.35),0.68,0.42,0.45 (8.16),0.49,0.71,2.71 (8.45),2.96,4.32
t+6,4.44 (5.53),4.70,6.67,0.71 (7.58),0.66,0.4,0.47 (7.84),0.51,0.72,2.90 (6.75),3.11,4.44
