,站名,站號,海拔高度,縣市,緯度,經度,地區,位置
0,信義,C0AC70,71m,臺北市,25.0378,121.5646,信義區,市府路1號(台北市政府頂樓)
1218,四湖植物園,E2K600,11m,雲林縣,23.677,120.1634,四湖鄉,中華路62巷80號
2436,口湖工作站,12J990,10m,雲林縣,23.59,120.1804,口湖鄉,口湖村成功路180號
3654,水試臺西試驗場,A2K360,1m,雲林縣,23.7172,120.1905,臺西鄉,中央路271號
4872,元長,C0K500,12m,雲林縣,23.6498,120.315,元長鄉,長南村仁愛街2號(元長鄉公所)
6090,二水,C0G880,92m,彰化縣,23.8107,120.6173,二水鄉,文化村119號(二水國小)
7308,社頭,C0G860,45m,彰化縣,23.8976,120.5862,社頭鄉,社斗路一段258號(社頭國小)
8526,埔鹽,C0G800,15m,彰化縣,24.0004,120.4317,埔鹽鄉,永樂村永樂路600號(永樂國小)
9744,埔心,C0G810,26m,彰化縣,23.9476,120.5255,埔心鄉,舊館村員鹿路四段201號(舊館國小)
10962,田中,467270,48.6m,彰化縣,23.8738,120.5813,田中鎮,中潭里4鄰高鐵三路1段167號
12180,臺中農改場,72G600,19m,彰化縣,24.003,120.5344,大村鄉,田洋村松槐路370號
13398,員林,C0G650,34m,彰化縣,23.9465,120.5856,員林市,萬年里明倫路2號(明倫國中內)
14616,溪湖,C0G660,27m,彰化縣,23.9484,120.4791,溪湖鎮,大竹里彰水路2段725號(湖南國民小學內)
15834,棋山,C0K560,117m,雲林縣,23.6865,120.6034,古坑鄉,棋盤村棋山49號(棋山國小)
17052,北港,C0K410,20m,雲林縣,23.574,120.2928,北港鎮,大同路565號(北港消防分隊)
18270,臺大雲林校區,A2K630,45m,雲林縣,23.7306,120.4239,虎尾鎮,學府西路8號(臺大雲林分部鋤禾館)
19488,南改斗南分場,72K220,60m,雲林縣,23.6346,120.4773,斗南鎮,復興路1-15號
20706,斗六,C0K400,65m,雲林縣,23.7206,120.5411,斗六市,鎮北路345-1號(斗六消防分隊)
21924,嘉義梅山,C0M770,164m,嘉義縣,23.5854,120.5556,梅山鄉,中山路282號(梅山鄉公所)
23141,溪州,C0G720,50m,彰化縣,23.8516,120.4991,溪州鄉,溪下路四段560號(溪州鄉公所)
24357,大城,C0G740,24m,彰化縣,23.8525,120.3209,大城鄉,東城村中平路185號(大城鄉公所)
25573,埤頭,C0G830,27m,彰化縣,23.866,120.4528,埤頭鄉,大湖村大湖路260號(大湖國小)
26789,田尾,C0G820,29m,彰化縣,23.9017,120.5094,田尾鄉,中正路二段101號(仁豐國小)
28005,二林,C0G730,27m,彰化縣,23.9033,120.3761,二林鎮,仁愛路200號(二林消防分隊)
29221,大埤,C0K450,35m,雲林縣,23.6461,120.4315,大埤鄉,中山路8號(大埤鄉公所)
30437,土庫,C0K390,31m,雲林縣,23.679,120.3956,土庫鎮,建國路41號(土庫消防分隊)
31653,西螺,C0K420,42m,雲林縣,23.8004,120.4674,西螺鎮,公正路211號(西螺消防分隊)
32869,大林,C0M670,43m,嘉義縣,23.6006,120.4584,大林鎮,新興街110號(大林地政事務所)
34085,溪口,C0M660,40m,嘉義縣,23.6041,120.4036,溪口鄉,中正東路103號(溪口國中學生活動中心)
35300,褒忠,C0K430,30m,雲林縣,23.6909,120.3036,褒忠鄉,中正路451號(褒忠鄉公所)
36515,林內,C0K470,97m,雲林縣,23.7487,120.6096,林內鄉,中正路685號(林內消防分隊)
37730,二崙,C0K440,35m,雲林縣,23.7728,120.4089,二崙鄉,中正路80號(二崙消防分隊)
40160,水里,C0I360,300m,南投縣,23.8126,120.8498,水里鄉,中山路一段515號(玉山國家公園管理處)
41375,萬大發電廠,42HA10,1000m,南投縣,23.9789,121.1396,仁愛鄉,親愛村大安路1號
42590,玉山,467550,3844.8m,南投縣,23.4876,120.9595,信義鄉,玉山北峰1號
43805,水林,C0K510,10m,雲林縣,23.5729,120.246,水林鄉,水北村水林路12號(水林鄉公所)
45020,莿桐,C0K480,56m,雲林縣,23.7612,120.5024,莿桐鄉,和平路53號(莿桐鄉公所)
46235,伸港,C0G890,24m,彰化縣,24.1489,120.4844,伸港鄉,新港村和平路60號(新港國小)
47450,線西,C0G900,20m,彰化縣,24.1434,120.4435,線西鄉,慶福路300號（彰濱工業區線西服務大樓內)
48665,秀水,C0G780,27m,彰化縣,24.0341,120.5039,秀水鄉,安東村中山路257號(秀水國小)
49880,福興,C0G770,15m,彰化縣,24.0413,120.4377,福興鄉,員鹿路二段270號(福興國中)
51095,民雄,C0M760,40m,嘉義縣,23.5518,120.4285,民雄鄉,文化路7號(民雄鄉公所)
52310,名間,C0I410,180m,南投縣,23.8371,120.7014,名間鄉,董門巷2號(名間鄉立體停車場)
53525,茶改南部分場,82H840,390m,南投縣,23.7625,120.7405,鹿谷鄉,初鄉村仁愛路255號
54740,竹山,C0I110,161m,南投縣,23.7612,120.6882,竹山鎮,延和里向學街32號(竹山國民小學內)
55955,集集,C0I380,258m,南投縣,23.8282,120.8015,集集鎮,民生東路1號(農委會特有生物研究保育中心)
57170,日月潭,467650,1017.5m,南投縣,23.8813,120.9081,魚池鄉,水社村中山路270巷14號
