,col0,col1
0,打秏,1000918
1,打秏,1000919
2,籓﹁秏,1000916
3,じ秏,1000917
4,秏,1000718
5,繷秏,1000717
6,瓾芉秏,1000714
7,瓾み秏,1000715
8,バい马,1000712
9,秏,1000713
10,狶カ,1000710
11,匪打马,1000711
12,秏,1000907
13,翠马,1000906
14,Ю马,1000903
15,ゆ玭马,1000902
16,ゆせカ,1000901
17,宾秏,1001015
18,匪秏,1000726
19,秏,1000724
20,榜繷秏,1000722
21,バЮ秏,1000721
22,狶马,1000720
23,榜秏,1000908
24,畐马,1000905
25,﹁脸马,1000904
26,狶马,1001004
27,匪秏,1001006
28,角┚秏,1000915
29,狶ず秏,1000910
30,盵秏,1000911
31,ń秏,1000811
32,く稲秏,1000813
33,獺竡秏,1000812
34,狶秏,1000920
35,踠秏,1000909
36,翠秏,1000705
37,絬﹁秏,1000704
38,╭秏,1000707
39,褐砍秏,1000706
40,チ动秏,1001005
41,丁秏,1000806
42,忱é秏,1000807
43,λ马,1000804
44,栋栋马,1000805
45,辰秏,1000809
