OBJECTID,站名,站號,站號_X,站號_Y,海拔高,縣市,緯度,經度,位置
1,口湖工作站,12J990,161.203313294999990,12973725845000000.000000000000000,10m,雲林縣,23.590000000000000,120.180400000000010,口湖鄉口湖村成功路180號
2,萬大發電廠,42HA10,0.000000000000000,0.000000000000000,1000m,南投縣,23.978899999999999,121.139600000000000,仁愛鄉親愛村大安路1號
3,臺中農改場,72G600,0.000000000000000,0.000000000000000,19m,彰化縣,24.003000000000000,120.534400000000010,大村鄉田洋村松槐路370號
4,南改斗南分場,72K220,0.000000000000000,0.000000000000000,60m,雲林縣,23.634599999999999,120.477300000000000,斗南鎮復興路1-15號
5,茶改中部分場,82H320,0.000000000000000,0.000000000000000,850m,南投縣,23.875599999999999,120.913600000000000,魚池鄉中山路270巷13號
6,茶改南部分場,82H840,0.000000000000000,0.000000000000000,390m,南投縣,23.762499999999999,120.740500000000000,鹿谷鄉初鄉村仁愛路255號
7,水試臺西試驗場,A2K360,0.000000000000000,0.000000000000000,1m,雲林縣,23.717199999999998,120.190500000000000,臺西鄉中央路271號
8,臺大雲林校區,A2K630,0.000000000000000,0.000000000000000,45m,雲林縣,23.730599999999999,120.423900000000000,虎尾鎮學府西路8號(臺大雲林分部鋤禾館)
9,王功漁港,CAG100,0.000000000000000,0.000000000000000,7m,彰化縣,23.968200000000000,120.325900000000000,芳苑鄉漁港路900號
10,海口故事園區,CAJ050,0.000000000000000,0.000000000000000,4m,雲林縣,23.575399999999998,120.141200000000000,口湖鄉新港綠化公園旁
11,蓮華池,E2H360,0.000000000000000,0.000000000000000,681m,南投縣,23.918299999999999,120.885300000000000,魚池鄉五城村華龍巷43號
12,四湖植物園,E2K600,0.000000000000000,0.000000000000000,11m,雲林縣,23.677000000000000,120.163400000000000,四湖鄉中華路62巷80號
13,農試溪口農場,G2M350,0.000000000000000,0.000000000000000,26m,嘉義縣,23.585699999999999,120.408100000000000,溪口鄉妙崙村下崙路1之20號(靠近柳溝國小)
14,溪頭,U2H480,0.000000000000000,0.000000000000000,1150m,南投縣,23.670300000000001,120.798199999999990,鹿谷鄉內湖村森林巷9號
15,臺大和社,U2HA30,0.000000000000000,0.000000000000000,772m,南投縣,23.590900000000001,120.888900000000010,信義鄉同富村同和巷47號
16,臺大內茅埔,U2HA40,0.000000000000000,0.000000000000000,507m,南投縣,23.689699999999998,120.851100000000000,信義鄉自強村綠美巷13號
17,臺大竹山,U2HA50,0.000000000000000,0.000000000000000,156m,南投縣,23.757000000000001,120.681600000000000,竹山鎮前山路一段12號
18,大庄合作社,V2K610,0.000000000000000,0.000000000000000,23m,雲林縣,23.806799999999999,120.367900000000010,二崙鄉大庄村酒姑路1號
19,麥寮合作社,V2K620,0.000000000000000,0.000000000000000,9m,雲林縣,23.753799999999998,120.294800000000000,麥寮鄉山寮段271
20,鹿港,C0G640,0.000000000000000,0.000000000000000,17m,彰化縣,24.075299999999999,120.430499999999990,鹿港鎮海埔里顏厝巷67號(行政院退輔會魚殖管理處彰化分場內)
21,員林,C0G650,0.000000000000000,0.000000000000000,34m,彰化縣,23.946500000000000,120.585600000000000,員林市萬年里明倫路2號(明倫國中內)
22,溪湖,C0G660,0.000000000000000,0.000000000000000,27m,彰化縣,23.948399999999999,120.479100000000000,溪湖鎮大竹里彰水路2段725號(湖南國民小學內)
23,溪州,C0G720,0.000000000000000,0.000000000000000,50m,彰化縣,23.851600000000001,120.499100000000000,溪州鄉溪下路四段560號(溪州鄉公所)
24,二林,C0G730,0.000000000000000,0.000000000000000,27m,彰化縣,23.903300000000002,120.376099999999990,二林鎮仁愛路200號(二林消防分隊)
25,大城,C0G740,0.000000000000000,0.000000000000000,24m,彰化縣,23.852499999999999,120.320899999999990,大城鄉東城村中平路185號(大城鄉公所)
26,福興,C0G770,0.000000000000000,0.000000000000000,15m,彰化縣,24.041300000000000,120.437700000000010,福興鄉員鹿路二段270號(福興國中)
27,秀水,C0G780,0.000000000000000,0.000000000000000,27m,彰化縣,24.034099999999999,120.503900000000000,秀水鄉安東村中山路257號(秀水國小)
28,埔鹽,C0G800,0.000000000000000,0.000000000000000,15m,彰化縣,24.000399999999999,120.431700000000010,埔鹽鄉永樂村永樂路600號(永樂國小)
29,埔心,C0G810,0.000000000000000,0.000000000000000,26m,彰化縣,23.947600000000001,120.525499999999990,埔心鄉舊館村員鹿路四段201號(舊館國小)
30,田尾,C0G820,0.000000000000000,0.000000000000000,29m,彰化縣,23.901700000000002,120.509400000000000,田尾鄉中正路二段101號(仁豐國小)
31,埤頭,C0G830,0.000000000000000,0.000000000000000,27m,彰化縣,23.866000000000000,120.452800000000000,埤頭鄉大湖村大湖路260號(大湖國小)
32,北斗,C0G840,0.000000000000000,0.000000000000000,32m,彰化縣,23.877600000000001,120.514200000000000,北斗鎮斗苑路二段150號(螺陽國小)
33,社頭,C0G860,0.000000000000000,0.000000000000000,45m,彰化縣,23.897600000000001,120.586200000000010,社頭鄉社斗路一段258號(社頭國小)
34,芳苑,C0G870,0.000000000000000,0.000000000000000,12m,彰化縣,23.922300000000000,120.319999999999990,芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中)
35,二水,C0G880,0.000000000000000,0.000000000000000,92m,彰化縣,23.810700000000001,120.617300000000000,二水鄉文化村119號(二水國小)
36,伸港,C0G890,0.000000000000000,0.000000000000000,24m,彰化縣,24.148900000000001,120.484399999999990,伸港鄉新港村和平路60號(新港國小)
37,線西,C0G900,0.000000000000000,0.000000000000000,20m,彰化縣,24.143400000000000,120.443500000000000,線西鄉慶福路300號（彰濱工業區線西服務大樓內)
38,花壇,C0G910,0.000000000000000,0.000000000000000,42m,彰化縣,24.032100000000000,120.549499999999990,彰化縣花壇鄉彰員路2段580號（花壇國中內）
39,永靖,C0G920,0.000000000000000,0.000000000000000,42m,彰化縣,23.924700000000001,120.547500000000000,永靖鄉瑚璉路230號（永靖鄉公所樓頂）
40,竹塘,C0G940,0.000000000000000,0.000000000000000,21m,彰化縣,23.848299999999998,120.386799999999990,竹塘鄉東陽路二段123號（長安國小校園內）
41,防潮門,C0G950,0.000000000000000,0.000000000000000,23m,彰化縣,24.183499999999999,120.487100000000000,伸港鄉全興村西全路167巷111之1號
42,福寶,C0G960,0.000000000000000,0.000000000000000,5m,彰化縣,24.044300000000000,120.381400000000000,福興鄉
43,三豐,C0G970,0.000000000000000,0.000000000000000,19m,彰化縣,23.882000000000001,120.289500000000000,大城鄉三豐村和平路30之1號
44,昆陽,C0H990,0.000000000000000,0.000000000000000,3076m,南投縣,24.121300000000002,121.273600000000000,仁愛鄉昆陽警察局後方下坡處(太魯閣國家公園)石碑後20公尺
45,神木村,C0H9A0,0.000000000000000,0.000000000000000,1595m,南投縣,23.532699999999998,120.843700000000000,信義鄉神木村神木工作分站後方山坡上(對高岳營林區29林班地444號土地)
46,廬山,C0I010,0.000000000000000,0.000000000000000,1562m,南投縣,24.033300000000001,121.181800000000000,仁愛鄉精英村富貴路67號前方200公尺(廬山電力公司瞭望台)
